run,real,sys,user
1,2.48,0.00,2.48
2,2.48,0.00,2.48
3,2.48,0.00,2.48
4,2.48,0.00,2.48
5,2.47,0.00,2.47
6,2.48,0.00,2.48
7,2.47,0.00,2.47
8,2.47,0.00,2.47
9,2.47,0.00,2.47
10,2.47,0.00,2.47
11,2.48,0.00,2.48
12,2.48,0.00,2.47
13,2.47,0.00,2.47
14,2.47,0.00,2.47
15,2.47,0.00,2.47
16,2.47,0.00,2.47
17,2.48,0.00,2.48
18,2.48,0.00,2.48
19,2.48,0.00,2.48
20,2.47,0.00,2.47
21,2.47,0.00,2.47
22,2.47,0.00,2.47
23,2.47,0.00,2.47
24,2.48,0.00,2.48
25,2.47,0.00,2.47
26,2.48,0.00,2.48
27,2.48,0.00,2.48
28,2.47,0.00,2.47
29,2.47,0.00,2.47
30,2.47,0.00,2.47
31,2.48,0.00,2.48
32,2.47,0.00,2.47
33,2.47,0.00,2.47
34,2.47,0.00,2.47
35,2.48,0.00,2.48
36,2.48,0.00,2.48
37,2.47,0.00,2.47
38,2.47,0.00,2.47
39,2.47,0.00,2.47
40,2.48,0.00,2.48
41,2.48,0.00,2.48
42,2.47,0.00,2.47
43,2.48,0.00,2.48
44,2.47,0.00,2.47
45,2.47,0.00,2.47
46,2.47,0.00,2.47
47,2.47,0.00,2.47
48,2.48,0.00,2.48
49,2.47,0.00,2.47
50,2.47,0.00,2.47
