run,real,sys,user
1,2.28,0.00,2.28
2,2.29,0.00,2.28
3,2.29,0.00,2.29
4,2.29,0.00,2.28
5,2.29,0.00,2.28
6,2.29,0.00,2.28
7,2.29,0.00,2.29
8,2.29,0.00,2.28
9,2.29,0.00,2.28
10,2.29,0.00,2.28
11,2.29,0.00,2.28
12,2.29,0.00,2.28
13,2.29,0.00,2.29
14,2.29,0.00,2.28
15,2.28,0.00,2.28
16,2.29,0.00,2.29
17,2.29,0.00,2.29
18,2.29,0.00,2.29
19,2.28,0.00,2.28
20,2.28,0.00,2.28
21,2.28,0.00,2.28
22,2.29,0.00,2.29
23,2.28,0.00,2.28
24,2.28,0.00,2.28
25,2.28,0.00,2.28
26,2.28,0.00,2.28
27,2.29,0.00,2.29
28,2.28,0.00,2.28
29,2.29,0.00,2.29
30,2.28,0.00,2.28
31,2.28,0.00,2.28
32,2.28,0.00,2.28
33,2.28,0.00,2.28
34,2.28,0.00,2.28
35,2.28,0.00,2.28
36,2.29,0.00,2.29
37,2.29,0.00,2.28
38,2.28,0.00,2.28
39,2.29,0.00,2.29
40,2.29,0.00,2.28
41,2.29,0.00,2.29
42,2.29,0.00,2.28
43,2.29,0.00,2.28
44,2.29,0.00,2.29
45,2.28,0.00,2.28
46,2.29,0.00,2.28
47,2.28,0.00,2.28
48,2.29,0.00,2.28
49,2.28,0.00,2.28
50,2.28,0.00,2.28
