run,real,sys,user
1,2.65,0.00,2.65
2,2.65,0.00,2.65
3,2.65,0.00,2.65
4,2.65,0.00,2.65
5,2.65,0.00,2.65
6,2.65,0.00,2.65
7,2.66,0.00,2.66
8,2.66,0.00,2.66
9,2.65,0.00,2.65
10,2.65,0.00,2.65
11,2.65,0.00,2.65
12,2.66,0.00,2.66
13,2.65,0.00,2.65
14,2.65,0.00,2.65
15,2.65,0.00,2.65
16,2.65,0.00,2.65
17,2.65,0.00,2.65
18,2.65,0.00,2.65
19,2.65,0.00,2.65
20,2.65,0.00,2.65
21,2.65,0.00,2.65
22,2.66,0.00,2.66
23,2.65,0.00,2.65
24,2.65,0.00,2.65
25,2.65,0.00,2.65
26,2.65,0.00,2.65
27,2.65,0.00,2.65
28,2.65,0.00,2.65
29,2.65,0.00,2.65
30,2.65,0.00,2.65
31,2.66,0.00,2.66
32,2.65,0.00,2.65
33,2.65,0.00,2.65
34,2.65,0.00,2.65
35,2.65,0.00,2.65
36,2.65,0.00,2.65
37,2.66,0.00,2.66
38,2.65,0.00,2.65
39,2.65,0.00,2.65
40,2.65,0.00,2.65
41,2.65,0.00,2.65
42,2.65,0.00,2.65
43,2.65,0.00,2.65
44,2.65,0.00,2.65
45,2.65,0.00,2.65
46,2.65,0.00,2.65
47,2.65,0.00,2.65
48,2.65,0.00,2.65
49,2.65,0.00,2.65
50,2.66,0.00,2.66
